vive_padre,vive_madre,n_personas,n_habitaciones,cercania_juegos,cercania_servicios,edad_primer_parto,area,educm,educp
1,1,7,3,2,2,16,0,13,9
1,1,5,3,1,1,19,1,13,13
0,1,5,3,1,1,27,1,13,13
1,1,5,3,2,1,16,0,9,5
0,1,3,2,1,1,32,1,15,0
1,1,4,3,2,2,27,1,13,17
0,1,6,4,1,1,21,1,15,17
1,1,7,3,1,1,18,1,13,13
1,1,5,5,1,1,32,0,15,13
1,1,4,2,1,1,17,1,16,13
1,1,4,3,2,2,34,1,17,17
1,1,6,3,2,1,20,1,12,5
1,1,4,4,1,1,33,1,20,0
1,1,6,3,1,1,25,1,14,20
1,1,6,5,1,1,17,1,15,15
0,1,3,1,2,2,19,0,8,0
1,1,5,2,1,2,28,1,13,13
1,1,3,2,1,1,20,0,13,13
0,0,7,2,1,2,17,1,10,0
0,1,3,2,1,1,18,1,13,13
0,1,4,2,1,1,20,1,14,0
1,1,3,3,1,1,19,1,9,17
0,1,2,3,1,1,27,1,13,13
1,1,6,3,1,1,36,0,7,9
1,1,4,3,2,1,21,1,9,9
1,1,3,2,1,4,21,1,13,11
1,1,3,2,1,1,37,1,13,18
1,1,6,4,1,1,30,1,0,18
0,1,2,1,1,1,21,0,13,13
0,1,4,2,1,1,15,0,8,0
1,1,6,3,2,2,20,1,11,9
1,1,5,2,1,2,28,1,13,13
1,1,5,2,1,1,16,1,8,9
1,1,4,3,1,1,20,1,13,13
0,1,6,3,1,1,25,1,13,13
0,0,4,3,1,1,20,1,17,13
0,1,4,2,2,2,27,1,16,0
1,1,4,3,1,1,25,1,19,19
0,1,2,3,1,1,22,1,12,0
1,1,4,2,1,1,28,1,13,13
1,1,4,2,2,2,24,1,13,13
0,1,4,3,1,1,22,1,15,0
1,1,4,3,1,1,24,1,13,18
0,1,2,1,1,1,34,1,8,0
1,1,5,3,1,1,25,1,18,17
1,1,10,3,1,1,21,1,12,13
0,1,4,3,1,1,21,1,16,18
1,1,5,3,1,2,21,1,13,13
1,1,4,2,1,1,27,1,13,13
1,1,6,2,1,1,23,1,13,11
1,1,3,2,1,1,36,1,13,13
1,1,4,3,1,1,19,1,20,13
1,1,4,2,1,1,17,1,15,17
1,1,5,4,1,1,24,1,13,18
0,1,3,2,2,1,35,0,15,11
0,1,4,3,1,1,18,1,9,0
1,1,5,3,1,1,40,1,18,13
1,1,5,3,2,2,18,0,13,16
0,1,3,2,2,2,22,0,11,11
1,1,4,3,1,1,21,1,13,6
1,1,3,2,1,1,16,1,13,11
1,1,7,4,1,1,19,1,13,11
1,1,3,2,2,2,31,1,6,13
0,1,4,2,1,1,19,1,18,13
0,1,6,3,1,1,17,1,16,20
1,1,4,3,2,1,22,1,18,18
0,1,3,2,2,2,18,1,13,0
1,1,4,3,1,1,19,1,18,9
1,1,5,2,2,2,23,1,13,13
1,1,4,3,1,1,22,1,13,13
0,1,6,4,1,1,24,1,20,20
1,1,7,3,4,1,19,0,9,6
0,1,2,3,1,1,34,1,16,13
0,1,5,3,1,1,15,1,13,0
1,1,5,2,1,1,14,1,13,13
1,1,7,2,1,1,20,1,10,10
1,1,4,2,1,1,18,1,13,13
1,1,4,3,1,1,25,1,20,19
0,1,6,4,1,1,26,1,16,13
1,1,4,2,1,1,32,1,16,18
1,1,5,3,1,1,20,1,13,13
0,1,4,3,1,1,19,1,13,0
0,1,3,2,1,1,30,1,0,18
0,1,4,3,1,1,19,0,9,13
1,1,3,2,1,1,22,1,13,13
0,1,3,3,2,1,17,1,14,10
1,1,4,2,1,1,20,1,13,13
1,1,5,2,1,2,16,1,6,9
1,1,6,3,1,1,32,1,3,2
0,1,6,3,2,2,22,1,9,0
1,1,5,2,1,1,21,1,13,13
0,1,5,2,2,1,19,1,13,0
1,1,4,2,2,1,17,1,13,13
1,1,6,2,1,1,16,1,8,8
1,1,4,3,1,1,19,1,3,5
1,1,4,2,1,1,26,1,13,13
1,1,4,2,2,1,20,1,13,13
1,1,5,3,1,1,21,1,12,13
1,1,3,3,1,1,21,1,13,13
0,1,6,2,1,1,18,1,13,13
1,1,4,3,1,1,17,1,13,14
1,1,5,1,1,1,19,1,13,13
0,1,3,2,2,2,21,1,9,0
1,1,4,2,2,1,32,1,13,13
1,1,5,2,1,1,25,1,13,16
1,1,6,3,1,1,31,1,18,13
1,1,5,3,1,1,22,1,0,0
1,1,9,4,1,1,21,1,14,13
1,1,5,3,1,2,19,1,6,6
0,1,4,2,1,1,18,1,13,13
1,1,4,2,1,1,30,1,0,16
0,1,5,4,1,1,19,1,14,13
1,1,3,2,1,1,25,1,17,13
1,1,3,2,1,1,17,1,14,13
0,1,5,3,1,1,19,1,15,13
1,1,5,3,1,2,18,1,8,10
1,1,4,3,1,1,23,1,13,13
0,1,2,3,2,1,18,1,13,13
1,1,5,4,1,1,34,1,15,18
1,1,3,1,1,1,20,1,13,13
1,1,5,3,1,1,21,1,13,13
1,1,5,3,1,1,18,1,13,13
1,1,6,3,1,1,16,1,13,9
1,1,6,4,2,1,18,1,15,15
1,1,6,4,2,1,25,1,6,5
1,1,4,3,1,1,19,1,13,0
1,1,3,2,1,1,22,1,13,13
0,1,3,1,1,1,18,1,13,9
1,0,5,2,1,1,18,0,10,13
0,1,8,4,1,1,20,1,10,10
1,1,4,3,1,1,30,1,18,20
1,1,4,3,2,1,23,1,13,13
1,1,6,4,1,1,20,1,13,15
0,1,3,2,1,1,21,1,11,0
1,1,3,2,1,1,18,1,9,9
1,1,5,2,2,2,16,1,12,12
0,1,7,4,1,1,22,1,6,11
1,1,4,2,2,1,22,1,13,13
0,1,5,3,1,2,21,1,9,0
1,1,5,3,1,1,25,1,18,15
1,1,4,2,1,1,20,1,13,11
1,1,4,3,1,1,25,1,16,18
1,1,5,3,1,1,24,1,13,13
1,1,6,3,2,1,16,1,13,13
1,1,3,2,1,1,30,1,16,16
1,1,5,3,2,1,18,1,17,17
0,0,6,3,2,1,26,1,9,0
0,1,8,3,1,1,21,1,9,0
1,1,6,4,1,1,,1,9,9
1,1,5,3,1,1,18,1,18,18
0,1,2,2,1,2,28,0,9,13
1,1,4,3,1,1,21,1,13,9
1,1,4,2,1,1,35,1,0,0
0,1,5,4,2,1,20,1,17,15
1,1,3,2,1,1,28,1,16,13
1,1,5,2,1,1,24,1,9,9
1,0,4,3,1,1,17,1,9,13
0,1,3,3,1,1,17,1,18,13
1,1,4,3,1,1,28,1,18,13
1,1,5,3,1,1,30,1,11,11
1,1,4,2,1,1,20,1,13,13
0,1,4,2,1,1,19,1,13,13
0,1,6,5,2,1,19,1,13,0
0,1,3,2,1,1,15,1,13,6
1,1,3,1,2,2,19,0,13,13
0,1,2,1,1,1,20,1,9,0
1,1,5,2,1,1,17,0,9,9
1,1,5,2,1,1,21,1,16,11
1,1,4,3,1,1,19,1,12,10
1,1,3,2,1,1,17,1,10,8
1,1,5,4,1,1,19,1,13,13
1,1,5,3,1,1,24,1,17,17
0,1,2,2,2,1,19,0,13,0
1,1,4,2,1,1,21,1,18,18
1,1,3,1,1,1,19,1,13,13
1,1,3,1,2,2,34,1,13,7
0,1,3,2,2,1,20,1,17,15
1,1,5,4,2,1,18,1,13,13
1,1,5,2,1,1,25,1,13,15
1,1,3,2,1,1,23,1,18,16
1,1,5,3,1,1,18,1,13,9
1,1,3,3,1,1,17,0,9,7
0,1,5,3,2,1,19,0,11,11
1,1,6,5,1,1,19,1,15,17
0,1,4,2,1,1,16,1,13,11
0,1,3,2,1,1,30,1,13,0
0,1,5,2,1,1,16,1,17,17
1,1,4,3,1,1,25,0,13,9
1,1,5,4,2,1,17,0,3,7
0,1,7,4,1,1,29,1,13,13
1,1,3,2,1,2,33,1,17,13
1,1,4,2,1,1,29,1,15,15
1,1,3,2,1,2,25,1,16,17
1,1,3,1,2,1,17,0,9,8
0,1,6,2,1,1,19,1,17,15
1,1,4,2,1,1,29,1,18,18
1,1,3,1,1,1,21,1,15,9
1,1,4,2,1,1,18,0,16,18
0,1,5,3,1,1,16,1,16,0
1,0,6,3,1,2,21,1,13,12
0,1,4,3,1,1,21,1,11,13
1,1,4,2,1,1,25,1,13,13
1,1,8,4,1,1,21,1,15,13
1,1,5,4,1,1,24,1,13,13
0,1,4,2,1,1,,1,4,0
1,1,5,3,1,1,17,1,13,13
1,1,6,2,1,1,19,1,13,12
0,1,6,2,1,1,21,1,13,0
0,1,5,3,1,1,22,1,16,13
0,1,4,3,2,2,18,1,13,13
1,1,5,2,1,1,16,1,14,9
0,1,3,2,1,1,20,1,6,0
1,1,6,4,1,1,22,1,13,13
0,1,3,2,1,1,21,1,16,0
1,1,5,3,1,1,19,1,13,13
1,1,4,3,1,1,18,1,18,13
1,1,5,3,2,2,20,1,9,9
0,1,3,2,1,1,21,1,16,0
1,1,4,2,1,1,26,1,11,9
1,1,4,3,1,1,25,1,9,13
1,1,5,3,1,1,27,1,13,13
0,1,5,,1,1,32,1,14,13
1,1,4,2,1,1,20,1,9,13
1,1,5,3,1,1,30,1,18,18
0,1,5,2,1,1,19,1,13,18
0,1,5,3,1,1,18,1,17,13
1,1,4,3,2,1,17,0,10,11
1,1,4,3,1,1,40,1,18,15
1,1,6,3,1,1,35,1,17,13
1,1,4,3,1,1,18,1,13,13
1,1,4,3,1,1,30,1,18,20
0,1,3,2,1,1,34,1,13,13
1,1,3,3,1,1,43,1,19,19
1,1,5,3,1,1,22,1,11,13
0,1,7,4,1,1,28,1,17,13
0,1,3,2,2,2,18,1,13,13
0,1,5,3,1,1,18,1,13,0
1,1,4,3,1,1,19,1,12,13
1,1,3,2,1,2,23,1,9,11
1,1,5,2,1,2,19,1,11,9
0,1,4,1,1,1,18,1,7,8
1,1,4,2,1,1,24,1,13,9
1,1,5,5,1,1,28,1,18,20
0,1,4,3,1,1,19,1,10,13
1,1,3,2,1,1,24,1,18,16
1,1,3,2,1,1,20,1,9,11
1,1,4,3,1,1,30,1,13,16
1,1,5,3,1,1,27,1,7,9
1,1,6,3,1,1,21,1,13,17
0,0,5,2,1,1,18,1,13,0
1,1,5,4,1,1,17,1,13,13
1,1,4,2,1,1,29,1,16,14
0,1,5,3,1,1,17,1,16,14
1,1,6,3,1,1,24,1,13,13
1,1,7,4,1,1,16,1,9,13
0,1,4,3,1,2,19,1,13,0
1,1,4,3,1,1,37,1,13,13
0,1,3,1,2,1,21,1,13,13
1,1,7,4,1,1,19,1,13,12
0,1,4,2,1,1,29,1,13,13
1,1,5,3,1,1,17,1,13,13
1,1,4,1,2,1,19,1,13,10
0,1,5,3,1,1,29,1,17,0
0,1,3,2,2,1,,1,6,9
0,1,5,2,1,1,21,1,8,9
1,1,5,4,1,1,36,1,16,16
1,1,3,3,1,1,27,1,15,17
1,1,3,2,1,1,29,1,17,0
0,1,2,2,1,1,22,1,13,0
0,1,2,2,1,1,26,1,16,16
1,1,3,1,2,1,,0,13,13
0,1,4,4,1,1,24,1,13,13
1,1,4,3,1,1,31,1,18,13
1,1,4,3,1,1,29,1,13,20
1,1,4,2,1,1,22,1,13,9
1,0,4,3,1,1,21,1,16,20
0,1,4,1,2,1,25,1,11,0
0,1,8,3,2,1,17,1,12,11
1,1,4,3,1,1,38,1,17,16
1,1,3,2,1,1,16,1,13,13
1,1,4,3,1,4,24,1,13,12
0,1,6,3,1,1,20,1,13,13
1,1,6,2,2,1,19,1,13,13
0,1,4,3,1,1,36,1,13,13
1,1,6,5,1,1,18,1,15,13
1,1,4,2,1,1,17,1,6,9
1,1,3,2,2,1,23,1,17,13
0,1,5,2,1,1,25,1,13,13
1,1,3,2,1,1,17,1,10,8
0,1,5,3,1,2,18,1,8,0
1,1,4,2,2,1,25,1,13,9
0,1,2,2,1,1,22,1,15,13
0,1,9,5,1,1,21,1,17,0
1,1,4,3,1,1,32,1,19,0
1,1,4,2,1,1,21,1,13,13
1,1,3,3,1,1,37,1,17,19
1,1,4,1,1,1,18,1,13,9
1,1,3,2,1,1,24,1,13,13
0,1,6,3,1,1,18,1,17,17
1,1,5,4,1,2,21,1,13,9
1,1,4,1,1,1,16,1,9,11
1,1,4,4,1,1,32,1,13,18
0,1,6,5,2,1,19,0,13,13
0,1,2,1,1,1,14,1,10,9
1,0,5,3,1,1,17,1,0,17
1,1,4,3,2,2,22,1,10,7
1,1,6,4,1,1,21,1,13,11
1,1,4,1,2,2,18,1,13,13
0,1,3,3,1,1,17,1,15,0
1,1,4,2,2,2,24,0,9,9
1,1,3,3,1,1,25,1,13,17
1,1,3,2,1,2,16,0,13,13
0,1,2,2,1,1,22,1,13,13
1,1,4,2,1,1,18,1,16,16
1,1,3,2,1,1,29,1,16,9
0,1,3,1,2,1,28,1,13,12
1,1,3,2,1,1,18,1,16,17
1,0,4,4,2,1,20,1,13,13
1,1,4,2,1,1,19,1,11,9
0,1,6,3,1,1,22,1,13,13
1,1,4,2,1,1,17,1,13,13
1,1,4,2,1,1,24,1,13,9
0,1,3,2,1,1,19,1,10,0
1,1,3,2,1,1,16,1,12,10
0,1,5,4,1,1,38,1,20,15
0,1,6,3,1,1,27,1,18,0
1,1,6,5,1,2,20,1,17,19
1,1,3,2,2,1,19,1,13,7
1,1,4,2,1,1,33,1,0,19
1,1,5,3,2,1,22,1,11,12
0,1,2,1,2,2,22,1,13,13
1,1,4,4,1,1,30,1,0,0
1,1,5,3,1,1,22,1,13,13
1,1,4,2,1,1,23,1,18,18
1,1,4,2,1,1,15,1,13,9
1,1,4,2,1,2,21,1,15,16
1,1,5,4,2,1,21,1,13,13
1,1,4,2,1,1,20,1,16,16
1,1,5,3,2,2,20,0,6,5
1,1,9,4,1,1,21,1,15,13
1,1,4,2,1,1,21,1,14,9
0,1,16,2,1,1,17,1,8,20
1,1,4,1,1,1,20,0,13,13
0,1,5,3,2,1,16,1,18,13
0,1,7,3,1,2,18,1,12,0
1,1,3,2,1,1,30,1,13,13
1,1,6,2,1,1,19,1,13,12
1,1,4,3,2,1,23,1,13,11
0,1,4,2,1,1,16,1,15,0
0,1,5,3,2,1,22,1,15,17
1,1,4,3,1,1,29,1,15,13
1,1,5,3,1,1,18,1,17,17
1,1,6,3,1,2,24,0,13,7
1,1,6,3,1,1,16,1,13,13
0,1,4,2,1,1,26,1,17,13
0,1,6,3,1,1,32,1,13,13
1,1,4,2,2,1,18,1,10,13
1,1,3,2,1,1,20,1,14,15
1,1,5,2,1,2,18,1,7,17
0,1,6,2,4,1,19,1,18,17
0,1,6,2,2,2,19,1,16,0
1,1,6,4,1,1,23,0,9,5
1,1,4,2,1,1,18,1,13,13
0,1,5,3,1,1,17,1,15,13
1,1,4,2,1,1,27,1,13,16
0,1,3,2,1,1,21,1,13,9
1,1,4,3,1,1,20,1,15,13
1,1,5,4,1,1,24,1,13,13
1,1,7,4,1,1,19,1,14,13
0,1,3,2,2,2,35,1,13,17
0,1,2,3,1,1,18,1,13,16
1,1,3,2,2,2,28,1,13,13
0,1,4,3,1,1,17,1,17,0
1,1,4,3,1,1,16,1,13,15
1,1,4,2,1,1,33,1,13,13
0,1,4,3,1,1,19,1,14,0
0,1,2,1,2,2,16,1,12,0
0,1,3,2,1,1,17,1,13,13
0,1,6,3,1,1,24,1,5,5
0,1,3,2,1,1,29,1,16,16
1,1,3,2,1,1,20,0,11,9
1,1,4,1,1,1,18,1,13,8
1,1,4,2,2,2,19,0,11,11
0,0,6,5,2,1,26,0,13,13
1,1,4,2,1,1,20,1,6,8
0,1,2,2,1,1,21,1,18,0
1,1,4,1,1,1,27,1,16,13
0,1,9,4,1,1,18,1,17,13
1,1,5,3,1,1,24,1,13,12
0,1,7,5,1,1,21,1,18,14
1,1,3,2,1,4,22,1,13,13
1,1,5,2,1,1,18,1,12,10
1,1,4,2,1,1,16,0,11,13
0,1,6,3,1,1,17,1,15,15
1,1,4,2,2,1,24,1,12,13
0,1,3,3,1,1,23,1,16,16
1,1,5,3,1,1,24,1,13,13
1,1,4,3,1,1,21,0,13,15
1,1,4,2,1,1,18,1,13,12
1,1,3,2,1,1,14,1,10,13
0,1,2,2,1,1,21,1,15,17
1,1,9,3,1,4,19,1,13,13
0,0,4,2,1,1,18,1,0,0
0,1,3,2,1,1,33,1,16,5
0,1,8,4,1,1,21,1,0,14
0,1,3,2,1,2,28,1,0,18
0,1,5,4,1,1,16,1,9,13
0,1,3,1,2,1,17,1,10,0
1,1,5,2,2,2,18,0,7,7
1,1,5,2,1,1,18,1,12,9
1,1,5,3,1,1,18,1,11,6
1,1,4,3,1,1,29,1,11,12
1,1,5,3,1,1,22,1,14,17
1,1,7,2,2,1,18,1,7,7
1,1,4,2,1,1,19,1,13,20
1,1,5,3,2,1,26,0,9,2
1,1,5,4,1,1,17,1,13,13
1,1,4,2,1,1,24,1,10,13
1,1,3,2,1,1,35,1,15,18
1,1,5,2,1,1,36,0,13,17
1,1,5,4,1,1,21,0,9,9
0,1,5,3,1,1,16,0,13,0
1,1,6,3,1,1,30,1,11,13
0,1,5,3,1,1,18,1,13,12
1,1,5,2,1,1,22,0,13,5
1,1,5,2,1,1,19,1,15,13
0,0,,,4,1,27,1,0,0
1,1,8,5,1,2,25,1,13,13
0,1,4,2,1,1,16,1,15,15
1,1,5,3,1,1,16,0,9,5
1,1,4,2,2,1,24,1,9,13
1,1,5,4,1,1,25,1,13,13
1,1,3,3,1,1,15,1,13,11
0,1,8,6,1,1,26,1,13,0
0,1,5,3,1,1,26,1,17,13
1,1,9,8,1,1,25,1,13,13
1,1,5,3,1,1,30,1,16,16
1,1,4,2,1,1,33,1,19,13
1,1,4,3,2,1,24,1,18,13
1,1,6,5,2,1,25,1,16,0
1,1,4,3,1,1,28,1,13,13
0,1,3,1,1,1,26,1,13,17
0,1,3,2,1,1,23,1,13,13
1,1,4,3,1,1,30,1,0,0
0,1,4,4,1,1,19,1,17,17
1,1,3,1,1,1,39,1,13,13
0,1,4,2,1,1,34,1,15,13
0,1,7,3,1,1,26,1,13,13
1,1,8,3,1,1,22,1,15,15
1,1,4,3,2,2,19,1,9,9
1,1,4,3,1,1,19,1,16,16
1,1,3,2,2,1,20,0,13,13
1,1,4,2,1,1,17,1,13,13
1,1,5,3,2,1,21,1,13,13
1,1,3,2,1,1,21,1,18,15
1,1,3,3,2,1,39,1,13,13
1,1,4,3,1,1,17,1,13,13
1,1,5,3,2,1,22,1,16,16
1,1,4,2,1,1,17,1,13,15
0,1,6,3,1,1,22,1,16,18
1,1,6,3,1,1,22,1,13,20
1,1,4,3,1,1,30,1,18,15
1,1,4,2,1,1,22,1,13,13
1,1,4,2,2,2,20,1,13,13
1,1,8,2,1,1,18,1,14,16
1,1,3,2,1,1,22,1,13,13
0,1,5,3,1,1,21,0,8,8
0,1,4,2,1,1,24,1,16,0
0,1,4,1,1,1,28,1,13,13
0,1,4,2,1,1,19,1,17,14
0,1,4,3,1,1,29,1,18,15
1,1,7,3,1,1,19,1,3,3
1,1,5,3,2,2,30,0,13,13
1,1,4,1,1,1,18,1,16,15
1,1,4,2,1,1,16,1,13,13
1,1,5,4,1,1,23,1,13,12
1,1,4,3,1,1,25,1,14,15
1,1,5,3,2,1,19,1,13,13
0,1,4,1,1,1,21,1,9,0
0,1,4,2,1,1,18,1,15,8
1,0,3,3,1,1,29,1,13,18
1,1,5,2,1,1,23,1,5,5
1,1,4,3,1,1,28,1,20,16
1,1,4,2,2,2,19,1,9,10
1,1,4,2,1,1,17,0,13,0
1,1,5,2,1,1,21,1,9,11
1,1,5,3,2,1,26,1,13,11
1,1,4,1,1,1,21,1,16,11
0,1,4,3,1,1,26,1,13,0
0,1,3,1,1,1,15,1,11,0
1,1,3,3,1,1,25,1,19,20
0,1,3,2,2,2,15,1,9,0
1,1,4,2,1,1,20,1,13,13
1,1,4,3,1,1,33,1,0,17
1,1,3,2,2,1,24,0,13,13
1,1,5,3,1,1,40,1,18,18
1,1,4,1,1,2,17,1,13,9
1,1,5,3,2,1,22,0,9,13
1,1,3,2,1,1,41,1,15,15
0,1,3,2,1,1,21,1,13,0
1,1,4,2,1,1,17,1,13,16
1,1,4,3,1,1,15,1,11,13
0,1,2,1,1,1,26,1,16,0
0,1,4,1,2,1,24,1,13,0
1,1,6,2,1,1,19,1,9,0
1,1,4,3,2,2,30,1,11,13
1,1,5,3,1,1,18,1,18,14
0,1,2,2,1,1,23,1,15,0
0,1,3,3,1,1,21,1,0,0
0,1,5,2,1,1,19,1,5,0
1,1,4,3,1,1,33,1,15,15
0,1,4,2,4,4,20,1,17,20
1,1,4,2,1,1,22,1,18,15
0,1,4,3,1,1,16,1,13,13
0,1,3,2,1,1,21,1,0,0
1,1,4,3,1,1,16,0,13,10
1,1,4,2,2,2,,1,9,9
1,1,8,2,1,1,24,1,9,9
1,1,3,2,2,2,30,1,18,13
1,1,4,2,1,1,25,1,13,14
1,1,8,5,1,1,16,1,16,13
0,1,3,2,1,1,17,1,9,15
1,1,5,4,1,1,30,1,18,19
0,1,3,2,1,1,19,1,13,0
0,1,2,2,1,1,25,1,13,9
1,1,5,2,2,2,25,0,15,17
1,1,4,1,2,1,18,1,13,10
0,1,4,2,1,1,18,1,13,13
1,1,3,2,1,1,15,1,12,9
1,1,4,2,1,1,15,1,12,11
1,1,4,2,1,1,20,1,12,9
1,1,4,3,1,1,29,1,15,18
0,1,4,3,1,1,28,1,16,17
0,1,3,3,1,1,30,1,16,13
0,1,2,2,1,1,19,1,16,0
1,1,4,2,1,1,26,1,15,15
0,0,4,3,1,1,,1,13,10
0,1,5,2,2,2,18,1,11,11
0,1,3,2,1,1,17,1,13,13
0,1,5,3,1,1,18,1,15,0
0,1,6,6,1,1,19,0,13,13
0,1,4,2,1,1,18,1,13,0
0,1,5,2,1,1,23,1,13,13
0,1,6,3,1,1,17,1,20,16
1,1,4,2,1,2,17,1,13,15
0,1,3,2,2,2,20,1,18,13
1,1,3,1,2,2,17,1,13,8
0,1,3,2,2,1,18,0,15,0
0,1,2,2,1,1,28,1,17,13
0,1,4,2,1,1,20,1,16,13
1,1,3,2,1,1,30,1,13,13
1,1,4,3,1,1,30,1,15,13
1,1,4,3,1,1,27,1,20,20
1,1,6,2,1,1,20,1,9,10
0,1,4,4,1,1,25,1,18,18
1,1,4,2,1,1,21,1,13,13
0,1,8,4,1,1,23,0,13,13
0,1,4,3,1,1,17,1,11,11
1,1,3,3,1,1,18,1,13,13
1,1,4,3,1,1,36,1,18,16
1,1,3,2,1,1,16,1,16,13
1,1,4,2,2,2,22,1,13,13
0,1,3,3,1,1,17,1,13,13
1,1,4,4,1,1,17,1,13,13
1,1,4,2,1,1,19,1,14,13
0,1,4,2,1,1,25,1,16,0
1,1,3,3,1,1,18,1,7,9
0,1,4,4,1,1,18,1,17,11
0,0,3,3,2,2,16,0,11,9
1,1,3,1,2,1,23,0,18,13
0,1,5,3,2,2,17,1,13,8
0,1,7,4,1,1,22,1,13,0
0,1,4,2,2,1,19,1,13,0
0,1,3,2,1,1,23,1,9,0
1,1,4,2,1,1,28,1,13,8
1,1,5,3,1,1,21,1,13,19
1,1,5,4,2,4,19,1,15,9
1,1,4,3,1,1,30,1,20,15
1,1,5,3,1,1,20,1,14,13
1,1,5,3,1,1,24,1,13,17
1,1,6,3,1,1,21,1,15,15
1,0,4,2,1,1,21,0,17,16
0,1,4,2,1,1,18,1,16,13
0,1,3,2,1,1,30,1,0,0
0,1,5,3,1,1,25,0,13,13
1,1,5,1,1,1,17,1,9,9
0,1,6,3,2,1,19,1,13,11
1,1,4,1,2,2,18,1,9,13
1,1,7,3,1,1,20,1,10,12
1,1,4,1,1,1,21,1,13,10
1,1,4,2,2,1,21,1,9,13
1,1,6,4,1,1,15,1,13,13
1,1,3,2,1,1,18,1,16,17
0,1,4,2,1,1,16,1,13,13
1,1,3,2,1,1,19,1,11,13
0,1,3,2,1,1,15,1,15,13
1,1,4,2,1,1,19,1,10,13
1,1,4,1,1,1,20,1,18,15
1,1,5,2,1,1,22,1,13,13
1,1,5,3,1,1,33,1,18,15
1,1,3,1,1,1,22,1,13,13
0,1,7,4,2,1,21,1,14,13
0,1,4,2,1,1,17,1,17,0
1,1,10,2,1,1,33,1,13,13
1,1,4,2,1,1,19,1,12,13
0,1,2,3,1,1,26,1,20,20
1,1,5,3,1,1,20,1,13,13
0,1,2,2,1,1,25,1,16,0
1,1,4,2,1,1,18,1,13,13
