sexo,edad,imce,vive_padre,vive_madre,sk1,sk2,sk3,sk4,sk5,sk6,sk7,sk8,sk9,sk10,sk11,sk12,sk13,act_fisica,area,educm,educp,madre_work,narrative
1,85,1.77,0,1,1,3,1,3,2,1,3,2,2,4,3,2,4,3,0,8,5,1,"Las habilidades socioemocionales se encuentran en desarrollo, donde la interaccion social y el juego lidera y la curiosidad e intereses cognitivos concentra el mayor desafio. Destaca especialmente compartir sus cosas, siendo el interes por los libros el aspecto a trabajar. La agresividad aparece de forma intermitente."
1,83,2.03,0,1,1,1,1,1,1,1,2,1,1,2,1,2,2,3,1,13,13,-1,"Alcanza un nivel socioemocional muy alto, apoyado sobre todo en lo afectivo-emocional, mientras la curiosidad e intereses cognitivos queda mas atras. Sobresale el uso de gestos para comunicarse, aunque el interes por los libros se observa mas debil. La agresividad es esporadica."
1,85,1.1,0,1,2,2,3,3,1,2,2,3,3,2,3,1,3,3,1,17,16,1,"Su perfil socioemocional aun esta madurando, donde la interaccion social y el juego lidera y lo afectivo-emocional concentra el mayor desafio. Sobresale armar y desarmar cosas, en tanto las expresiones artisticas pide mas acompanamiento. Presenta agresividad ocasional y leve."
0,84,2.0799999,0,1,1,1,3,1,1,2,1,1,1,1,1,2,1,2,1,9,7,0,"Su perfil socioemocional es favorable, donde la curiosidad e intereses cognitivos lidera y lo afectivo-emocional concentra el mayor desafio. Entre sus conductas, brilla el juego con otros, y conviene reforzar la expresion de sentimientos. No se registran conductas agresivas."
1,83,2.7,1,1,2,2,1,2,1,2,2,1,2,3,1,3,1,2,0,7,7,-1,"Exhibe competencias socioemocionales apropiadas para su etapa, donde la interaccion social y el juego lidera y la curiosidad e intereses cognitivos concentra el mayor desafio. Destaca especialmente la participacion en juegos grupales, aunque armar y desarmar cosas se observa mas debil. Las conductas agresivas son poco frecuentes."
1,83,-0.02,1,1,1,1,1,1,1,1,3,1,1,2,2,1,2,4,1,15,15,1,"Exhibe un perfil socioemocional muy solido, con ventaja clara en lo afectivo-emocional frente a un rezago en la curiosidad e intereses cognitivos. Su mayor fortaleza es el juego con otros, mientras las expresiones artisticas requiere mayor estimulo. Presenta conductas agresivas a veces."
1,84,-0.11,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,3,1,19,19,1,"Presenta un desarrollo socioemocional destacado, donde la interaccion social y el juego lidera y lo afectivo-emocional concentra el mayor desafio. Solo rara vez muestra agresividad. Su mayor fortaleza es el afecto hacia sus pares, aunque armar y desarmar cosas se observa mas debil."
0,85,-0.40000001,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,3,1,13,13,-1,"Alcanza un nivel socioemocional muy alto, apoyado sobre todo en lo afectivo-emocional, mientras la curiosidad e intereses cognitivos queda mas atras. Su mayor fortaleza es el afecto hacia sus pares, y conviene reforzar el interes por su entorno. Solo rara vez muestra agresividad."
1,84,1.9,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,13,10,-1,"Muestra un desarrollo socioemocional satisfactorio, apoyado sobre todo en lo afectivo-emocional, mientras la interaccion social y el juego queda mas atras. Entre sus conductas, brilla la expresion de sentimientos, siendo las expresiones artisticas el aspecto a trabajar. La agresividad es esporadica."
0,84,0.60000002,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,18,15,1,"Presenta un desarrollo socioemocional destacado, apoyado sobre todo en lo afectivo-emocional, mientras la curiosidad e intereses cognitivos queda mas atras. No se registran conductas agresivas. Lo que mejor maneja es las expresiones artisticas, aunque el interes por los libros se observa mas debil."
1,83,0.61000001,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,13,13,-1,"Presenta un desarrollo socioemocional destacado, con un equilibrio notable entre las areas observadas. Su mayor fortaleza es hacer preguntas a los adultos, mientras el juego con otros requiere mayor estimulo. La agresividad es constante."
1,84,-2.3699999,1,1,1,3,1,1,1,1,2,1,1,3,3,1,5,5,1,6,9,-1,"Exhibe competencias socioemocionales apropiadas para su etapa, destacando en la interaccion social y el juego y mostrando mayor debilidad en la curiosidad e intereses cognitivos. Sobresale el uso de gestos para comunicarse, y las expresiones artisticas es lo que mas necesita apoyo. Solo rara vez muestra agresividad."
0,83,2.52,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,17,17,1,"Alcanza un nivel socioemocional muy alto, con un equilibrio notable entre las areas observadas. Destaca especialmente compartir sus cosas, y el interes por los libros es lo que mas necesita apoyo. Las conductas agresivas son poco frecuentes."
1,85,0.5,0,1,1,2,1,1,1,2,3,1,1,2,1,1,1,1,1,15,15,1,"Exhibe un perfil socioemocional muy solido, con la curiosidad e intereses cognitivos como area mas fuerte y la interaccion social y el juego como la mas rezagada. Sobresale el interes por su entorno, y el afecto hacia sus pares es lo que mas necesita apoyo. Muestra episodios ocasionales de agresividad."
1,83,1.9400001,1,1,1,2,1,1,1,1,2,3,2,3,2,3,3,2,1,13,9,1,"Presenta un desarrollo socioemocional adecuado, apoyado sobre todo en lo afectivo-emocional, mientras la curiosidad e intereses cognitivos queda mas atras. Presenta agresividad ocasional y leve. Destaca especialmente la expresion de sentimientos, siendo la participacion en juegos grupales el aspecto a trabajar."
0,83,1.25,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,3,1,13,13,1,"Su desarrollo socioemocional es sobresaliente, apoyado sobre todo en la interaccion social y el juego, mientras lo afectivo-emocional queda mas atras. Resalta particularmente la participacion en juegos grupales, en tanto el interes por los libros pide mas acompanamiento. No presenta agresividad."
1,85,1.41,1,1,3,1,1,1,1,1,2,1,1,2,1,4,3,2,1,18,15,-1,"Exhibe competencias socioemocionales apropiadas para su etapa, donde la interaccion social y el juego lidera y la curiosidad e intereses cognitivos concentra el mayor desafio. Su mayor fortaleza es la participacion en juegos grupales, y armar y desarmar cosas es lo que mas necesita apoyo. La agresividad es esporadica."
1,84,-0.55000001,0,1,1,2,1,1,1,2,1,1,2,1,1,1,5,2,1,9,9,0,"Muestra un desarrollo socioemocional satisfactorio, con ventaja clara en lo afectivo-emocional frente a un rezago en la curiosidad e intereses cognitivos. Su mayor fortaleza es el juego con otros, mientras las expresiones artisticas requiere mayor estimulo. Sin senales de agresividad."
1,85,0.63999999,1,1,1,1,2,2,1,1,1,1,2,2,2,4,4,3,1,13,13,-1,"Presenta un desarrollo socioemocional adecuado, con la interaccion social y el juego como area mas fuerte y la curiosidad e intereses cognitivos como la mas rezagada. Lo que mejor maneja es la participacion en juegos grupales, siendo armar y desarmar cosas el aspecto a trabajar. Sin senales de agresividad."
1,83,2.98,0,1,1,3,2,2,3,4,3,4,2,2,4,2,3,3,1,13,13,1,"Evidencia avances parciales en lo socioemocional, siendo lo afectivo-emocional su ambito mas avanzado y la interaccion social y el juego el menos logrado. Resalta particularmente el afecto hacia sus padres, aunque el interes por su entorno se observa mas debil. Se observan brotes de agresividad de cuando en cuando."
0,84,0.31,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,18,18,1,"Evidencia un desarrollo socioemocional excelente, siendo lo afectivo-emocional su ambito mas avanzado y la interaccion social y el juego el menos logrado. Lo que mejor maneja es el juego con otros, mientras compartir sus cosas requiere mayor estimulo. Presenta agresividad ocasional y leve."
1,83,-0.090000004,1,1,1,3,1,1,1,1,1,1,1,2,1,3,2,3,0,8,0,-1,"Las habilidades socioemocionales estan bien establecidas, con ventaja clara en la interaccion social y el juego frente a un rezago en la curiosidad e intereses cognitivos. Resalta particularmente hacer preguntas a los adultos, y armar y desarmar cosas es lo que mas necesita apoyo. Sin senales de agresividad."
1,85,-1.15,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,3,1,16,18,1,"Su desarrollo socioemocional es sobresaliente, donde lo afectivo-emocional lidera y la interaccion social y el juego concentra el mayor desafio. Destaca especialmente el uso de gestos para comunicarse, aunque la participacion en juegos grupales se observa mas debil. Las conductas agresivas son poco frecuentes."
0,83,0.66000003,1,1,2,2,2,2,1,1,1,1,2,2,2,3,3,2,1,20,11,1,"Muestra un desarrollo socioemocional satisfactorio, con ventaja clara en la interaccion social y el juego frente a un rezago en la curiosidad e intereses cognitivos. No presenta agresividad. Entre sus conductas, brilla el juego con otros, en tanto las expresiones artisticas pide mas acompanamiento."
1,82,0.050000001,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,3,1,18,13,-1,"Alcanza un nivel socioemocional muy alto, con un equilibrio notable entre las areas observadas. Sus conductas individuales se presentan de forma pareja. Las conductas agresivas son habituales y sostenidas."
0,80,0.94999999,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,3,0,6,9,-1,"Muestra habilidades socioemocionales plenamente consolidadas, con un avance parejo entre sus distintas areas. Sobresale la expresion de sentimientos, y el afecto hacia sus padres es lo que mas necesita apoyo. Presenta un patron agresivo persistente."
1,75,0.69999999,0,1,5,3,4,4,2,3,3,2,2,2,3,2,2,3,1,0,9,1,"Su perfil socioemocional aun esta madurando, con la curiosidad e intereses cognitivos como area mas fuerte y lo afectivo-emocional como la mas rezagada. Destaca especialmente el interes por los libros, y conviene reforzar el afecto hacia sus padres. Presenta conductas agresivas a veces."
1,82,0.97000003,1,1,1,1,1,1,2,2,5,1,1,1,1,1,1,2,1,18,17,-1,"Evidencia un desarrollo socioemocional excelente, con ventaja clara en lo afectivo-emocional frente a un rezago en la interaccion social y el juego. Lo que mejor maneja es la expresion de sentimientos, y conviene reforzar compartir sus cosas. Presenta un patron agresivo persistente."
0,73,2.21,0,1,1,1,1,1,1,1,2,2,1,2,1,2,1,3,1,11,9,0,"Muestra habilidades socioemocionales plenamente consolidadas, con lo afectivo-emocional como area mas fuerte y la curiosidad e intereses cognitivos como la mas rezagada. Lo que mejor maneja es el afecto hacia sus pares, y la participacion en juegos grupales es lo que mas necesita apoyo. Las conductas agresivas son poco frecuentes."
0,77,1.78,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,3,0,13,9,-1,"Presenta un desarrollo socioemocional destacado, siendo lo afectivo-emocional su ambito mas avanzado y la curiosidad e intereses cognitivos el menos logrado. La agresividad esta ausente. Resalta particularmente el afecto hacia sus pares, y conviene reforzar el interes por los libros."
1,71,2.9200001,0,1,1,2,1,1,1,1,5,1,2,1,1,1,1,2,1,17,17,1,"Alcanza un nivel socioemocional muy alto, destacando en la interaccion social y el juego y mostrando mayor debilidad en lo afectivo-emocional. Destaca especialmente armar y desarmar cosas, y conviene reforzar el afecto hacia sus pares. Las conductas agresivas son habituales y sostenidas."
1,73,-0.30000001,1,1,1,1,1,1,1,3,2,1,1,1,4,1,1,1,1,5,11,-1,"Exhibe competencias socioemocionales apropiadas para su etapa, siendo lo afectivo-emocional su ambito mas avanzado y la interaccion social y el juego el menos logrado. Las conductas agresivas son poco frecuentes. Entre sus conductas, brilla las expresiones artisticas, y conviene reforzar el interes por su entorno."
0,107,0.49000001,1,1,1,1,1,1,1,1,3,1,1,4,1,1,1,5,1,13,11,0,"Evidencia un desarrollo socioemocional excelente, siendo lo afectivo-emocional su ambito mas avanzado y la curiosidad e intereses cognitivos el menos logrado. Presenta conductas agresivas a veces. Sobresale hacer preguntas a los adultos, y conviene reforzar el interes por los libros."
1,107,0.44999999,0,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,1,17,13,1,"Muestra un desarrollo socioemocional satisfactorio, con lo afectivo-emocional como area mas fuerte y la interaccion social y el juego como la mas rezagada. Resalta particularmente hacer preguntas a los adultos, mientras compartir sus cosas requiere mayor estimulo. Solo rara vez muestra agresividad."
1,107,1.5700001,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,5,1,15,12,1,"Alcanza un nivel socioemocional muy alto, con ventaja clara en lo afectivo-emocional frente a un rezago en la interaccion social y el juego. Entre sus conductas, brilla el uso de gestos para comunicarse, mientras la participacion en juegos grupales requiere mayor estimulo. Solo rara vez muestra agresividad."
1,107,2.04,1,1,1,2,2,2,2,2,4,2,2,3,4,3,3,2,1,5,4,0,"Las habilidades socioemocionales se encuentran en desarrollo, siendo lo afectivo-emocional su ambito mas avanzado y la curiosidad e intereses cognitivos el menos logrado. La agresividad es frecuente. Lo que mejor maneja es el afecto hacia sus padres, mientras el interes por su entorno requiere mayor estimulo."
0,107,0.16,1,1,1,3,3,3,3,4,1,4,3,1,1,1,1,3,0,7,0,-1,"Las habilidades socioemocionales se encuentran en desarrollo, apoyado sobre todo en la curiosidad e intereses cognitivos, mientras la interaccion social y el juego queda mas atras. Lo que mejor maneja es el interes por los libros, aunque la participacion en juegos grupales se observa mas debil. La agresividad esta ausente."
1,107,-1.52,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,3,1,8,10,1,"Evidencia un buen nivel socioemocional, siendo la interaccion social y el juego su ambito mas avanzado y lo afectivo-emocional el menos logrado. Lo que mejor maneja es el afecto hacia sus padres, aunque las expresiones artisticas se observa mas debil. La agresividad esta ausente."
0,107,2.1600001,0,1,1,2,1,1,3,2,5,2,1,3,3,3,1,3,1,16,17,1,"Exhibe competencias socioemocionales apropiadas para su etapa, con lo afectivo-emocional como area mas fuerte y la interaccion social y el juego como la mas rezagada. Resalta particularmente la expresion de sentimientos, mientras armar y desarmar cosas requiere mayor estimulo. La agresividad es constante."
1,107,-0.029999999,1,1,3,4,1,1,3,4,3,2,1,3,2,5,2,2,1,3,5,1,"Las habilidades socioemocionales se encuentran en desarrollo, donde lo afectivo-emocional lidera y la interaccion social y el juego concentra el mayor desafio. Sobresale la expresion de sentimientos, y armar y desarmar cosas es lo que mas necesita apoyo. Muestra episodios ocasionales de agresividad."
0,107,1.05,1,1,1,2,1,1,3,1,3,2,3,2,1,3,1,3,1,5,5,1,"Presenta un desarrollo socioemocional adecuado, destacando en lo afectivo-emocional y mostrando mayor debilidad en la interaccion social y el juego. Muestra episodios ocasionales de agresividad. Destaca especialmente el interes por su entorno, mientras hacer preguntas a los adultos requiere mayor estimulo."
1,107,4.1599998,0,0,1,1,1,1,1,1,1,4,1,3,1,4,5,2,1,9,10,-1,"Las habilidades socioemocionales estan bien establecidas, con ventaja clara en lo afectivo-emocional frente a un rezago en la curiosidad e intereses cognitivos. Lo que mejor maneja es compartir sus cosas, aunque las expresiones artisticas se observa mas debil. La agresividad esta ausente."
0,107,1.9299999,1,1,1,4,1,1,2,1,3,4,1,3,1,1,1,5,1,7,8,1,"Evidencia un buen nivel socioemocional, destacando en la curiosidad e intereses cognitivos y mostrando mayor debilidad en la interaccion social y el juego. Resalta particularmente las expresiones artisticas, en tanto el afecto hacia sus pares pide mas acompanamiento. Presenta conductas agresivas a veces."
1,107,0.55000001,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,12,-1,"Alcanza un nivel socioemocional muy alto, con un avance parejo entre sus distintas areas. Lo que mejor maneja es las expresiones artisticas, mientras la expresion de sentimientos requiere mayor estimulo. Las conductas agresivas son habituales y sostenidas."
0,106,1.62,1,1,1,3,2,1,3,4,4,3,1,3,3,1,1,1,1,3,5,-1,"Su nivel socioemocional es moderado, con ventaja clara en lo afectivo-emocional frente a un rezago en la interaccion social y el juego. La agresividad es frecuente. Destaca especialmente hacer preguntas a los adultos, mientras compartir sus cosas requiere mayor estimulo."
0,106,3.22,1,1,1,1,1,1,3,4,1,5,2,3,2,1,2,1,1,13,7,1,"Su nivel socioemocional es moderado, con lo afectivo-emocional como area mas fuerte y la interaccion social y el juego como la mas rezagada. Lo que mejor maneja es el afecto hacia sus padres, siendo la participacion en juegos grupales el aspecto a trabajar. No presenta agresividad."
0,106,0.40000001,0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,13,13,-1,"Presenta un desarrollo socioemocional destacado, con un avance parejo entre sus distintas areas. Su mayor fortaleza es hacer preguntas a los adultos, y conviene reforzar el interes por su entorno. Muestra episodios ocasionales de agresividad."
1,106,-0.25,1,0,1,1,1,1,1,1,1,1,2,2,1,1,2,3,0,,13,-1,"Su desarrollo socioemocional es sobresaliente, con lo afectivo-emocional como area mas fuerte y la curiosidad e intereses cognitivos como la mas rezagada. Su mayor fortaleza es el juego con otros, y las expresiones artisticas es lo que mas necesita apoyo. Sin senales de agresividad."
0,106,3.1700001,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,4,1,9,13,-1,"Presenta un desarrollo socioemocional destacado, con ventaja clara en lo afectivo-emocional frente a un rezago en la curiosidad e intereses cognitivos. Entre sus conductas, brilla el uso de gestos para comunicarse, aunque el interes por los libros se observa mas debil. Sin senales de agresividad."
0,106,0.80000001,1,1,2,2,2,2,2,3,3,2,3,3,2,2,3,3,1,9,9,-1,"Muestra un perfil socioemocional intermedio, destacando en lo afectivo-emocional y mostrando mayor debilidad en la curiosidad e intereses cognitivos. Su mayor fortaleza es el interes por su entorno, mientras compartir sus cosas requiere mayor estimulo. La agresividad aparece de forma intermitente."
1,107,2.7,1,1,1,3,1,2,2,3,1,3,1,4,1,1,5,3,1,13,2,-1,"Evidencia avances parciales en lo socioemocional, donde lo afectivo-emocional lidera y la interaccion social y el juego concentra el mayor desafio. Resalta particularmente el interes por su entorno, y conviene reforzar las expresiones artisticas. No presenta agresividad."
0,106,3.2,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,1,1,12,12,1,"Muestra un perfil socioemocional intermedio, donde lo afectivo-emocional lidera y la interaccion social y el juego concentra el mayor desafio. Muestra episodios ocasionales de agresividad. Destaca especialmente el afecto hacia sus pares, siendo las expresiones artisticas el aspecto a trabajar."
1,105,0.58999997,0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,11,9,0,"Presenta un desarrollo socioemocional destacado, con un avance parejo entre sus distintas areas. Sobresale el uso de gestos para comunicarse, y el interes por los libros es lo que mas necesita apoyo. Se observan brotes de agresividad de cuando en cuando."
0,105,-0.60000002,1,1,1,3,3,3,2,4,3,4,5,3,5,5,2,1,1,13,13,1,"Las habilidades socioemocionales se observan poco afianzadas, con ventaja clara en lo afectivo-emocional frente a un rezago en la curiosidad e intereses cognitivos. Destaca especialmente el afecto hacia sus padres, en tanto armar y desarmar cosas pide mas acompanamiento. Muestra episodios ocasionales de agresividad."
1,107,0.94,1,1,1,1,2,1,3,3,5,3,2,3,2,1,3,1,1,9,13,-1,"Su nivel socioemocional es moderado, apoyado sobre todo en lo afectivo-emocional, mientras la interaccion social y el juego queda mas atras. La agresividad es constante. Resalta particularmente armar y desarmar cosas, siendo compartir sus cosas el aspecto a trabajar."
1,107,-0.31,1,1,1,2,1,1,2,1,3,1,1,5,2,4,2,2,1,10,10,-1,"Las habilidades socioemocionales estan bien establecidas, donde lo afectivo-emocional lidera y la curiosidad e intereses cognitivos concentra el mayor desafio. Entre sus conductas, brilla el afecto hacia sus padres, en tanto el interes por los libros pide mas acompanamiento. Presenta conductas agresivas a veces."
