"Marca temporal","ID","Edad","Sexo","Carrera","Año académico","Universidad"," [Hablo sobre mis valores y creencias más importantes.]"," [Especifico la importancia de tener un propósito.]"," [Considero las consecuencias morales y éticas de las decisiones.]"," [Enfatizo la importancia de tener un sentido colectivo de la misión.]"," [Hago que las personas se sientan orgullosas por trabajar conmigo.]"," [Voy más allá del interés propio para el bien del grupo.]"," [Actúo de formas que genero respeto.]"," [Muestro un sentido de poder y confianza en las decisiones.]"," [Hablo con optimismo sobre el futuro.]"," [Hablo con entusiasmo sobre lo que se necesita lograr.]"," [Expreso con claridad una visión convincente del futuro.]"," [Expreso mi confianza sobre el logro de objetivos.]"," [Reexamino supuestos críticos para ver si son apropiados.]"," [Busco perspectivas diversas al momento de resolver problemas.]"," [Hago que los demás vean los problemas desde distintos ángulos.]"," [Sugiero nuevas formas de realizar los deberes asignados.]"," [Genero espacios de tiempo para la enseñanza y el entrenamiento.]"," [Trato a los demás como una persona y no únicamente como un miembro de un grupo.]"," [Considero que tengo diferentes necesidades, habilidades y aspiraciones que los demás.]"," [Ayudo a los demás a desarrollar susfortalezas.]"," [Brindo apoyo a los demás por sus esfuerzos.]"," [Debato en términos específicos respecto de quien es el responsable de lograr los objetivos de rendimiento.]"," [Esclarezco lo que uno puede recibir cuando se logran las metas de desempeño.]"," [Expreso satisfacción cuando alguien cumplió con las expectativas.]"," [Centro la atención en irregularidades, errores, excepciones y desviaciones de las normas.]"," [Concentro toda mi atención en el tratamiento de errores, quejas y fallas.]"," [Hago un seguimiento de mis errores.]"," [Dirijo mi atención a los fracasos para cumplir con los estándares.]"," [No interfiero hasta que los problemas se tornan serios.]"," [Espero que las cosas vayan mal antes de tomar medidas.]"," [Demuestro que creo en la frase “si funciona, no lo arregles”.]"," [Demuestro que los problemas deben volverse crónicos antes de tomar medidas.]"," [Evito involucrarme cuando surgen problemas importantes.]"," [Estoy ausente cuando se me necesita.]"," [Evito tomar decisiones.]"," [Retraso las respuestas a preguntas urgentes.]"," [Consigo que alguien haga más de lo que se esperaba que haga.]"," [Aumento el deseo de tener éxito de los demás.]"," [Aumento la disposición a esforzarse más de los demás.]"," [Utilizo métodos satisfactorios de liderazgo.]"," [Trabajo con los demás de manera satisfactoria.]"," [Soy eficaz al satisfacer las necesidades de los demás.]"," [Soy eficaz al representar a alguien ante una autoridad superior.]"," [Soy eficaz en el cumplimiento de los requisitos de una organización.]"," [Dirijo a un grupo que es efectivo.]"
"2026/06/09 4:19:45 p.m. GMT-4","087b237f-c46e-4753-8c1f-f168bba6c3a7","21","Femenino","Obstetricia","Cuarto año","Universidad de Concepción","2","1","3","2","2","2","3","3","3","2","2","3","2","3","2","2","3","3","2","2","3","2","2","3","3","2","3","2","3","2","2","2","3","3","3","3","2","2","2","2","3","3","2","3","2"
"2026/06/09 4:20:06 p.m. GMT-4","4f7d4323-4588-4fd1-964e-049ce8bd3765","23","Femenino","Obstetricia","Cuarto año","Universidad de Concepción","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","3","3","3","2","2","2","2","3","3","3","3","3","3"
"2026/06/09 4:21:29 p.m. GMT-4","f456dbc4-4276-4ded-861c-5f7e367a3287","25","Femenino","Obstetricia","Cuarto año","Universidad de Concepción","3","3","3","4","3","4","4","3","4","4","4","4","3","3","3","3","3","4","2","4","4","2","4","4","1","2","3","2","2","1","2","1","1","1","1","1","1","1","3","4","4","4","4","4","4"
"2026/06/09 4:24:12 p.m. GMT-4","f76eaf95-9ec6-423d-b336-7b7c54cd1ac3","22","Femenino","Obstetricia","Cuarto año","Universidad de Concepción","4","3","4","4","4","4","4","3","4","4","4","4","4","3","3","3","3","4","4","4","4","3","4","4","4","3","3","2","2","1","2","1","1","1","1","1","2","4","2","3","4","3","3","4","4"
"2026/06/09 5:03:43 p.m. GMT-4","609539be-f391-47b1-a5b1-155cd1830b23","19","Masculino","Tecnología Médica","Segundo año","Universidad de Concepción","4","3","4","4","3","4","4","3","3","3","3","3","4","4","4","3","2","4","4","4","4","3","4","4","3","3","3","4","2","1","2","1","2","1","3","1","3","4","4","4","3","4","4","4","4"
"2026/06/10 10:45:19 a.m. GMT-4","67043350-b2a8-4711-a3ad-fd36b9802fdc","26","Masculino","Odontología","Egresado","Universidad San Sebastián","3","4","4","3","4","4","4","3","3","4","3","3","2","3","3","4","4","4","4","2","3","4","4","4","4","4","4","4","1","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3"
"2026/06/11 2:04:58 p.m. GMT-4","cfe79b41-4332-48db-ad43-c85d397a6522","23","Masculino","Kinesiología","Quinto año","Univeridad Católica de la Santísima Concepción","4","3","4","4","2","2","4","3","3","3","2","2","2","3","2","2","3","4","2","1","4","3","3","4","3","3","2","2","3","3","4","1","2","2","3","3","4","3","4","4","4","3","3","2","3"
"2026/06/11 2:05:13 p.m. GMT-4","5c28471e-4f8e-4b9e-b87c-57070f2e03da","25","Femenino","Psicología","Quinto año","Universidad San Sebastián","3","2","4","4","3","3","2","2","1","3","2","3","3","4","4","3","3","4","3","3","3","3","3","4","2","3","3","3","2","2","3","2","2","3","2","3","3","3","3","3","3","3","3","4","3"
"2026/06/11 2:11:46 p.m. GMT-4","a69642fd-54c7-4c60-b75f-707094a10457","23","Femenino","Tecnología Médica","Segundo año","Universidad de Concepción","3","4","4","4","4","4","3","4","3","4","4","4","4","4","4","4","3","4","3","4","4","3","3","4","3","3","4","2","1","2","1","1","2","1","1","1","2","3","3","3","3","3","4","4","3"
"2026/06/15 11:08:11 a.m. GMT-4","3bced125-05a7-41b0-8901-3c8a5829210c","27","Masculino","Psicología","Egresado","Universidad San Sebastián","3","2","4","3","3","3","4","2","2","3","3","4","4","4","4","4","3","4","3","3","3","3","3","4","4","3","3","3","3","3","1","2","2","2","3","3","2","2","3","3","3","3","3","3","3"
"2026/06/15 11:08:17 a.m. GMT-4","88ffbd4d-bf9a-499a-97cf-a96960a6d9f7","22","Masculino","Odontología","Cuarto año","Universidad de Concepción","2","2","3","2","3","3","3","2","3","2","2","2","3","4","3","3","3","4","2","3","3","2","3","3","3","2","4","3","3","2","2","2","3","2","2","2","2","2","2","3","3","3","2","3","3"
"2026/06/15 11:59:19 a.m. GMT-4","42586810-2976-4206-8dd1-b55ca84e8c6b","24","Femenino","Medicina","Séptimo año","Universidad de Concepción","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","3","3","4","3","2","2","2","2","1","1","1","1","4","4","4","3","4","4","4","4"
"2026/06/15 12:01:12 p.m. GMT-4","005f45f5-a4c8-401e-811f-a9a24a561ee3","24","Masculino","Medicina","Séptimo año","Universidad de Concepción","3","4","4","3","4","4","4","3","4","4","3","3","4","4","4","3","4","4","4","3","4","4","3","4","2","3","4","2","2","2","2","1","2","1","2","2","1","3","3","3","3","3","2","3","3"
"2026/06/15 4:10:13 p.m. GMT-4","92332051-d2fa-45e5-aae5-d0a7e295ac41","23","Femenino","Fonoaudiología","Cuarto año","Universidad de Concepción","2","2","4","3","2","4","3","3","4","3","2","3","4","4","4","4","3","4","4","3","3","3","3","3","2","2","3","2","2","1","2","1","1","1","2","1","1","2","2","2","4","3","2","2","3"
"2026/06/15 4:10:19 p.m. GMT-4","9b8b9750-78a6-43ff-8a08-4473af2bce40","22","Femenino","Fonoaudiología","Cuarto año","Universidad de Concepción","2","1","3","3","3","3","3","3","2","4","4","3","3","4","4","4","3","4","2","3","3","3","4","4","4","3","3","2","2","1","2","1","2","2","2","1","2","3","3","3","4","4","4","4","2"
"2026/06/15 4:13:06 p.m. GMT-4","2e3fd62c-bd69-46fb-9ece-81510f957a48","22","Femenino","Fonoaudiología","Cuarto año","Universidad de Concepción","3","2","3","2","4","4","4","4","4","4","4","4","4","3","3","4","3","4","4","4","4","4","4","4","3","3","3","3","2","1","1","1","1","1","1","1","1","3","3","3","4","4","4","4","4"
"2026/06/15 5:29:21 p.m. GMT-4","a71b7438-ec7a-4518-8d31-ff796802bea3","22","Femenino","Kinesiología","Quinto año","Universidad de Concepción","3","3","4","4","3","4","4","4","4","4","4","4","3","4","4","4","4","4","3","4","4","4","4","4","1","1","4","1","1","1","1","1","2","1","1","1","3","4","3","4","4","4","4","4","4"
"2026/06/15 5:33:42 p.m. GMT-4","d506a8f0-8bb2-4f4b-8c4a-9741dc7e7dcc","22","Femenino","Kinesiología","Quinto año","Universidad de Concepción","2","3","4","4","3","4","4","3","3","3","2","2","4","4","3","3","3","4","1","3","4","4","4","3","3","4","3","3","1","2","2","2","2","1","1","2","1","2","2","2","4","3","4","4","3"
"2026/06/16 10:34:47 a.m. GMT-4","3b254354-e14b-4b47-b239-975b63c523ca","20","Femenino","Tecnología Médica","Tercer año","Universidad de Concepción","3","3","3","3","3","3","3","3","4","4","3","3","3","3","3","3","3","4","3","3","3","3","3","4","4","2","3","4","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3"
"2026/06/16 12:46:07 p.m. GMT-4","be55028d-c510-46c2-94ff-942d373a6e80","23","Masculino","Química y Farmacia","Quinto año","Universidad de Concepción","2","4","4","4","3","4","4","4","4","4","4","4","3","3","4","4","4","4","3","4","4","4","4","4","3","3","4","3","2","2","2","2","2","2","2","2","3","3","3","4","3","4","3","3","3"
"2026/06/16 12:47:04 p.m. GMT-4","a160ca2f-dff2-446d-b4d6-33f2277a83a2","23","Femenino","Química y Farmacia","Quinto año","Universidad de Concepción","3","2","4","2","2","3","4","4","4","4","4","4","4","4","4","4","3","4","2","2","3","1","4","4","2","1","4","2","1","1","2","1","1","1","1","1","4","3","4","4","4","4","4","4","4"
"2026/06/16 3:49:15 p.m. GMT-4","8a5734f7-b144-4ada-bc5e-ae748a9487ae","20","Femenino","Kinesiología","Segundo año","Universidad de Concepción","3","4","4","4","3","4","4","4","4","3","4","4","4","3","4","4","2","4","3","3","3","3","3","4","2","2","3","3","1","1","2","1","1","1","1","1","3","3","3","4","3","3","3","3","3"
"2026/06/16 4:24:41 p.m. GMT-4","d71fa453-1f81-4b63-921c-3568cf30550a","28","Masculino","Química y Farmacia","Quinto año","Universidad de Concepción","2","3","3","3","3","4","3","4","2","3","3","3","3","4","3","4","3","2","2","2","3","2","3","3","2","3","4","2","2","1","2","2","2","1","1","2","2","2","3","3","3","3","2","3","3"
"2026/06/16 4:26:26 p.m. GMT-4","942f320d-e30d-455e-8304-6fb7220c0547","22","Masculino","Química y Farmacia","Quinto año","Universidad de Concepción","3","3","4","2","2","2","2","2","2","2","3","1","3","4","4","2","4","4","4","2","3","4","4","4","3","3","4","2","1","2","3","1","3","2","3","1","2","2","2","2","3","3","3","3","2"
"2026/06/16 4:26:28 p.m. GMT-4","541c63a2-10a8-4ebf-9a2e-f37916cfe1e0","22","Masculino","Química y Farmacia","Quinto año","Universidad de Concepción","3","3","4","4","4","4","4","4","4","4","4","4","4","4","3","3","2","4","3","2","4","2","3","4","4","3","4","4","2","2","2","2","1","1","1","1","3","3","3","4","4","4","3","4","4"
"2026/06/17 11:06:49 a.m. GMT-4","4652220d-422f-409b-9f7e-463db45a7943","23","Femenino","Química y Farmacia","Quinto año","Universidad de Concepción","2","3","4","3","3","3","3","2","2","3","3","2","4","4","4","3","3","3","4","3","3","3","4","3","4","3","3","4","1","1","2","1","1","2","2","1","3","2","3","2","3","4","4","3","3"
"2026/06/17 12:09:40 p.m. GMT-4","0b8312e7-6e0b-4ec9-80c5-a917e6c8ac2e","31","Masculino","Química y Farmacia","Quinto año","Universidad de Concepción","3","3","4","3","3","4","3","2","3","3","2","2","3","4","4","3","3","3","3","3","3","2","3","3","3","2","3","3","2","1","2","2","2","1","2","2","1","3","2","2","3","3","4","3","2"
"2026/06/17 12:11:45 p.m. GMT-4","da58e510-1ba0-460f-8d1b-121441b33f8c","22","Femenino","Química y Farmacia","Quinto año","Universidad de Concepción","3","3","4","3","2","4","4","3","4","4","3","3","3","3","3","3","4","4","2","4","4","2","4","4","3","2","3","3","2","2","2","1","1","1","1","2","2","4","3","3","4","4","4","4","4"
"2026/06/17 12:12:22 p.m. GMT-4","7d2a121e-3291-4933-9b38-f1433b9422b9","23","Masculino","Química y Farmacia","Quinto año","Universidad de Concepción","3","2","4","4","4","4","4","1","4","4","3","2","4","2","3","4","1","4","4","4","4","1","2","4","4","3","4","4","1","1","2","1","1","1","3","1","2","2","1","1","4","3","1","4","4"
"2026/06/17 12:12:32 p.m. GMT-4","218680f9-b1be-4f28-bfba-1862812e1b31","24","Femenino","Química y Farmacia","Cuarto año","Universidad de Concepción","3","4","3","3","3","4","4","3","3","4","3","3","3","4","4","3","4","4","3","3","4","3","4","4","1","2","3","3","1","1","1","1","2","1","1","1","3","3","3","3","4","3","4","4","3"
"2026/06/17 4:40:22 p.m. GMT-4","c8d77734-3fab-4d53-ba6e-e8ea6755247b","24","Masculino","Medicina","Séptimo año","Universidad de Concepción","3","3","4","3","1","2","1","1","1","2","2","1","2","3","4","2","2","4","4","2","4","2","2","2","4","2","1","4","2","2","1","1","2","2","3","2","1","3","4","1","3","1","2","1","1"
"2026/06/17 5:37:47 p.m. GMT-4","32e32725-f6df-42e7-9302-1cbb9d9a336e","21","Masculino","Tecnología Médica","Tercer año","Universidad de Concepción","3","3","3","3","3","3","3","3","3","3","3","2","2","3","3","3","4","4","3","3","3","3","3","3","2","2","3","2","2","2","1","1","2","1","1","2","3","3","3","3","3","3","3","3","3"
"2026/06/18 12:07:38 p.m. GMT-4","20f22151-7934-40ec-bb80-732b64e23eec","23","Masculino","Química y Farmacia","Quinto año","Universidad de Concepción","2","3","3","3","3","4","3","3","3","3","4","4","2","4","4","4","3","3","4","4","4","3","2","4","3","3","2","3","1","2","3","2","2","1","2","2","3","2","3","2","3","3","3","3","3"
"2026/06/18 12:12:07 p.m. GMT-4","5731954f-52ee-4372-a9b2-0998f30ff699","22","Femenino","Química y Farmacia","Quinto año","Universidad de Concepción","2","3","3","3","3","3","3","3","2","3","2","2","3","4","3","3","4","3","4","3","3","3","3","4","3","3","3","2","3","1","3","1","2","1","2","2","2","3","3","3","3","3","2","3","3"
"2026/06/18 2:07:01 p.m. GMT-4","982c3edf-bb52-4e85-b91e-40e8a37454f1","22","Femenino","Psicología","Egresado","Universidad San Sebastián","1","4","4","4","2","3","4","3","3","4","3","3","3","3","3","4","4","4","3","3","3","2","3","3","2","1","2","2","1","1","1","1","1","1","1","1","2","3","3","3","3","3","3","3","3"
"2026/06/18 2:07:20 p.m. GMT-4","ce7bb036-9800-452e-9ea7-4ad8ffa38b10","24","Masculino","Psicología","Egresado","Universidad San Sebastián","3","3","4","3","4","4","4","3","4","4","4","3","2","3","3","4","4","4","4","3","4","3","3","4","2","3","3","2","3","2","2","1","1","1","2","1","3","3","3","3","4","4","4","4","3"
"2026/06/18 2:07:24 p.m. GMT-4","875ae5df-736f-463e-bede-943e46661f45","22","Femenino","Química y Farmacia","Quinto año","Universidad de Concepción","2","2","4","2","3","4","4","3","3","3","3","3","3","4","3","3","2","4","3","2","3","3","2","3","3","3","3","3","1","1","2","1","2","1","3","1","3","3","3","2","3","3","2","3","3"
"2026/06/18 2:08:40 p.m. GMT-4","ae4f3438-a800-42be-8f15-3fefab66f6d4","23","Femenino","Química y Farmacia","Quinto año","Universidad de Concepción","4","3","4","4","2","4","2","2","2","4","3","3","3","4","4","3","3","4","4","3","4","3","3","4","4","3","3","4","2","1","2","1","1","1","3","2","2","3","4","2","3","4","2","3","2"
"2026/06/18 2:09:20 p.m. GMT-4","335133b5-30e6-4ad3-ab34-e51aa478400e","28","Masculino","Química y Farmacia","Quinto año","Universidad de Concepción","4","4","4","4","4","3","4","4","4","4","3","4","3","4","4","4","3","4","4","3","3","3","4","4","4","3","3","3","3","3","1","1","1","1","1","1","3","3","3","4","3","4","4","3","4"
"2026/06/19 12:12:03 p.m. GMT-4","385fc2df-2523-4aee-b9c6-0e20d3a921da","23","Femenino","Química y Farmacia","Quinto año","Universidad de Concepción","2","2","4","3","3","3","4","4","3","3","3","3","3","4","4","4","4","4","3","3","3","2","4","4","3","2","4","3","2","2","3","2","3","1","2","2","1","3","3","2","4","4","3","4","4"
"2026/06/19 12:12:29 p.m. GMT-4","6fc62dd9-edac-429c-a12c-3b6f859e2ec8","22","Femenino","Química y Farmacia","Quinto año","Universidad de Concepción","3","4","4","3","3","4","4","3","2","2","2","2","2","3","3","4","4","4","4","4","4","4","3","4","3","3","3","3","3","2","2","1","1","1","1","1","2","3","3","3","4","4","3","3","4"
"2026/06/19 12:12:32 p.m. GMT-4","8fafcc94-9fda-441f-8a60-2c0380c21085","23","Femenino","Química y Farmacia","Quinto año","Universidad de Concepción","3","2","4","3","3","4","4","2","3","3","3","2","3","4","3","3","3","4","3","3","4","2","3","4","3","3","3","2","2","2","2","1","2","1","3","2","2","1","3","1","3","3","2","3","3"
"2026/06/19 12:12:51 p.m. GMT-4","5d740538-6752-47a5-91e9-2dccadd30d1e","22","Prefiero no decirlo","Química y Farmacia","Quinto año","Universidad de Concepción","3","4","4","3","3","3","3","2","3","3","3","3","2","3","3","2","2","4","4","3","4","2","3","4","3","2","4","2","2","2","3","2","2","1","2","2","2","2","2","3","3","3","3","3","3"
"2026/06/19 12:13:52 p.m. GMT-4","bc7c3aa4-58d7-4f22-9eaf-fd78c3f98c4b","22","Femenino","Química y Farmacia","Quinto año","Universidad de Concepción","3","3","4","3","3","3","3","3","3","3","3","4","3","4","3","3","3","4","3","3","3","3","4","4","4","3","4","3","2","1","3","1","2","1","1","1","3","3","3","3","4","3","3","4","3"
"2026/06/19 12:14:40 p.m. GMT-4","a02a3f2c-9594-4934-8444-daf19ffc22d6","22","Femenino","Química y Farmacia","Quinto año","Universidad de Concepción","4","3","4","4","4","4","4","4","3","4","3","4","3","4","4","3","3","4","4","4","4","3","4","4","4","4","4","4","1","1","2","1","1","1","1","1","3","3","4","3","3","4","4","4","4"
"2026/06/19 1:38:31 p.m. GMT-4","190672e4-1e4c-41d4-9af7-416315ec93af","23","Masculino","Química y Farmacia","Quinto año","Universidad de Concepción","2","3","4","2","4","4","3","4","4","4","4","3","3","2","3","3","4","4","2","3","4","4","2","4","2","3","3","2","1","1","3","1","1","1","1","1","3","3","3","3","3","4","4","4","4"
"2026/06/19 1:41:02 p.m. GMT-4","306dde5b-4f02-480d-960b-440c17cfcdc6","27","Femenino","Bioquímica","Quinto año","Universidad de Concepción","3","3","3","4","4","3","3","3","3","3","3","4","2","3","3","3","4","3","3","3","2","2","3","4","2","3","3","2","2","1","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3"
"2026/06/19 2:03:16 p.m. GMT-4","2c456d00-902d-47ea-bdf5-2c8ef486162b","23","Femenino","Odontología","Quinto año","Universidad de Concepción","4","4","3","4","4","2","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","2","1","3","2","1","1","1","1","1","1","1","1","2","2","4","4","4","4","4","4","4"
"2026/06/19 2:04:55 p.m. GMT-4","e4e1531b-a23e-4999-81f0-95a6d4af8307","23","Masculino","Odontología","Quinto año","Universidad de Concepción","3","3","3","3","3","3","3","3","2","3","3","3","4","4","3","3","3","4","3","3","4","3","3","4","2","2","4","2","1","1","2","1","2","1","1","1","3","3","3","3","3","3","3","3","3"
"2026/06/19 2:07:36 p.m. GMT-4","022ae115-30e4-4c12-9e96-43851f4ce2c5","23","Masculino","Química y Farmacia","Quinto año","Universidad de Concepción","3","3","4","2","3","3","3","3","2","2","3","2","3","4","3","3","2","4","3","4","3","2","4","4","4","3","4","3","1","1","2","1","2","1","1","1","2","3","3","3","3","4","4","4","3"
